Rank,Name,Channel Info,Category,Posts,Followers,Avg. Likes,Eng Rate
1,instagram,brand,photography,7300,580100000,7310,0.001
2,cristiano,male,"Health, Sports & Fitness",3400,519900000,3410,0.013999999999999999
3,leomessi,male,"Health, Sports & Fitness",1000,403700000,970,0.017
4,kyliejenner,female,entertainment,7000,375900000,7020,0.017
5,selenagomez,female,entertainment,1800,365300000,1850,0.011000000000000001
6,therock,male,entertainment,7000,354300000,7030,0.003
7,arianagrande,female,entertainment,5000,345600000,4980,0.013999999999999999
8,kimkardashian,female,entertainment,5700,336300000,5730,0.009000000000000001
9,beyonce,female,entertainment,2100,287300000,2050,0.01
10,khloekardashian,female,entertainment,4200,283900000,4190,0.005
11,justinbieber,male,entertainment,7400,270200000,7390,0.005
12,nike,brand,"Health, Sports & Fitness",1000,257600000,1030,0.001
13,taylorswift,male,entertainment,562000,236200000,1000,0.013000000000000001
14,jlo,female,entertainment,220000,228800000,220000,0.005
15,virat.kohli,male,,1500,228000000,1480,0.012
16,kendalljenner,male,,731000,223400000,731000,0.023
17,natgeo,brand,entertainment,26700,220600000,26710,0.001
18,nickiminaj,female,entertainment,6400,206800000,6440,0.008
19,kourtneykardash,female,entertainment,4400,206200000,4420,0.008
20,kendalljenner,male,,824000,204400000,824000,0.025
21,neymarjr,male,"Health, Sports & Fitness",5400,196200000,5390,0.015
22,natgeo,male,,26000,196100000,26020,0.001
23,mileycyrus,female,entertainment,1200,189900000,1180,0.005
24,katyperry,female,entertainment,2100,179800000,2090,0.003
25,zendaya,female,entertainment,3500,161800000,3540,0.040999999999999995
26,kevinhart4real,male,entertainment,8400,157600000,8400,0.002
27,iamcardib,male,entertainment,1600,145600000,1650,0.018000000000000002
28,ddlovato,female,entertainment,68000,143500000,68000,0.003
29,badgalriri,female,entertainment,4900,139200000,4860,0.027000000000000003
30,kingjames,male,"Health, Sports & Fitness",2400,139200000,2410,0.009000000000000001
31,champagnepapi,male,entertainment,297000,127600000,297000,0.012
32,theellenshow,female,entertainment,10700,127100000,10750,0.001
33,chrisbrownofficial,male,entertainment,7500,125500000,7450,0.003
34,realmadrid,community,"Health, Sports & Fitness",6500,120900000,6530,0.006
35,fcbarcelona,community,"Health, Sports & Fitness",17600,113600000,17560,0.008
36,billieeilish,female,entertainment,737000,107400000,737000,0.059000000000000004
37,championsleague,male,"Health, Sports & Fitness",18900,99900000,18950,0.004
38,gal_gadot,male,entertainment,1700,91600000,1710,0.012
39,dualipa,female,entertainment,1400,87500000,1390,0.024
40,k.mbappe,male,"Health, Sports & Fitness",1200,87200000,1200,0.034
41,nasa,community,technology,3700,85800000,3690,0.011000000000000001
42,lalalalisa_m,female,entertainment,900,85500000,930,0.081
43,vindiesel,male,entertainment,1800,84900000,1840,0.012
44,priyankachopra,female,entertainment,3600,83900000,3610,0.012
45,khaby00,male,entertainment,317000,80200000,317000,0.081
46,shakira,female,entertainment,2000,77700000,2040,0.01
47,snoopdogg,male,entertainment,55300,77600000,55250,0.002
48,shraddhakapoor,female,entertainment,1900,76700000,1910,0.016
49,gigihadid,female,fashion,3300,76400000,3290,0.034
50,davidbeckham,male,"Health, Sports & Fitness",1600,76200000,1590,0.011000000000000001
51,victoriassecret,brand,fashion,3100,73800000,3140,0.001
52,aliaabhatt,female,entertainment,1900,73600000,1900,0.02
53,nehakakkar,female,entertainment,2400,72900000,2380,0.013000000000000001
54,nba,community,"Health, Sports & Fitness",53000,72600000,52950,0.003
55,jennierubyjane,female,entertainment,900,72400000,930,0.087
56,shawnmendes,male,entertainment,2500,71000000,2550,0.031
57,narendramodi,male,News & Politics,559000,70900000,559000,0.033
58,deepikapadukone,female,entertainment,347000,70500000,347000,0.013999999999999999
59,katrinakaif,female,entertainment,1100,68900000,1050,0.026000000000000002
60,emmawatson,female,entertainment,417000,68800000,417000,0.011000000000000001
61,ronaldinho,male,"Health, Sports & Fitness",3000,68300000,3020,0.01
62,tomholland2013,male,entertainment,1200,67700000,1220,0.099
63,justintimberlake,male,entertainment,790000,67500000,790000,0.006999999999999999
64,marvel,community,entertainment,7400,67000000,7390,0.004
65,sooyaaa__,female,entertainment,900,66599999,920,0.08
66,raffinagita1717,male,entertainment,18300,66000000,18260,0.004
67,camila_cabello,female,entertainment,3000,65800000,2970,0.018000000000000002
68,roses_are_rosie,female,entertainment,879000,65200000,879000,0.083
69,jacquelinef143,female,entertainment,2500,64300000,2470,0.011000000000000001
70,akshaykumar,male,entertainment,2000,63600000,2000,0.02
71,psg,male,"Health, Sports & Fitness",10500,63600000,10470,0.008
72,anitta,female,entertainment,5200,63500000,5220,0.012
73,maluma,female,entertainment,8200,62800000,8189,0.013000000000000001
74,willsmith,male,entertainment,1400,62700000,1410,0.018000000000000002
75,karimbenzema,male,"Health, Sports & Fitness",2100,62000000,2070,0.017
76,premierleague,male,"Health, Sports & Fitness",21300,61800000,21290,0.003
77,anushkasharma,female,entertainment,1200,61600000,1200,0.033
78,manchesterunited,male,"Health, Sports & Fitness",23700,61400000,23730,0.008
79,milliebobbybrown,female,entertainment,336000,60300000,336000,0.06
80,urvashirautela,female,entertainment,2000,60200000,2029,0.006999999999999999
81,marcelotwelve,male,"Health, Sports & Fitness",2700,60000000,2740,0.01
82,whinderssonnunes,male,entertainment,2800,58600000,2810,0.019
83,9gag,community,Lifestyle,31000,58100000,31040,0.005
84,karolg,male,entertainment,3300,58100000,3310,0.052000000000000005
85,iamzlatanibrahimovic,male,"Health, Sports & Fitness",900,56800000,910,0.017
